otsikko,linkki
"Omakotitontin varaaminen ja vuokraaminen Ritaharjusta osoitteesta Pystykorvantie 16, kiinteistötunnus 564-79-237-3",https://asiakirjat.ouka.fi/ktwebscr/fileshow?doctype=3&docid=3525149
"Vuokratontin myyminen Vanhasta Hiukkavaarasta osoitteesta Asesepäntie 24, kiinteistötunnus 564-48-18-1",https://asiakirjat.ouka.fi/ktwebscr/fileshow?doctype=3&docid=3524200
"Vuokratontin myyminen Haukiputaalta osoitteesta Rinnepolku 4, kiinteistötunnus 564-123-3213-2",https://asiakirjat.ouka.fi/ktwebscr/fileshow?doctype=3&docid=3510630
"Vuokratontin myyminen Kuivasjärveltä osoitteesta Karjakentäntie 18, kiinteistötunnus 564-81-10-4",https://asiakirjat.ouka.fi/ktwebscr/fileshow?doctype=3&docid=3510633
"Omakotitontin varauksen muuttaminen Ritaharjussa osoitteesta Ajokoirantie 45, kiinteistötunnus 564-79-233-13",https://asiakirjat.ouka.fi/ktwebscr/fileshow?doctype=3&docid=3531818
"Omakotitontin varaaminen ja vuokraaminen Korvenkylältä osoitteesta Tiinutie 7, kiinteistötunnus 564-87-30-9",https://asiakirjat.ouka.fi/ktwebscr/fileshow?doctype=3&docid=3526133
"Omakotitontin varaaminen ja vuokraaminen Ritaharjusta osoitteesta Ajokoirantie 39, kiinteistötunnus 564-79-233-10",https://asiakirjat.ouka.fi/ktwebscr/fileshow?doctype=3&docid=3526179
"Omakotitontin varaaminen ja vuokraaminen Korvenkylästä osoitteesta Survintie 8, kiinteistötunnus 564-87-8-3",https://asiakirjat.ouka.fi/ktwebscr/fileshow?doctype=3&docid=3526183
"Omakotitontin varaaminen ja vuokraaminen Ritaharjusta osoitteesta Ajokoirantie 23, kiinteistötunnus 564-79-233-2",https://asiakirjat.ouka.fi/ktwebscr/fileshow?doctype=3&docid=3526189
"Omakotitontin varaaminen ja vuokraaminen Korvenkylästä osoitteesta Soikkotie 10, kiinteistötunnus 564-87-33-2",https://asiakirjat.ouka.fi/ktwebscr/fileshow?doctype=3&docid=3526191
"Omakotitontin varaaminen ja vuokraaminen Oulunsalosta osoitteesta Nostinmiehentie 9, kiinteistötunnus 564-140-554-6",https://asiakirjat.ouka.fi/ktwebscr/fileshow?doctype=3&docid=3526194
"Omakotitontin varaaminen ja vuokraaminen Heikinharjusta osoitteesta Sienikankaantie 6, kiinteistötunnus 564-85-13-10",https://asiakirjat.ouka.fi/ktwebscr/fileshow?doctype=3&docid=3526199
Kiinteistökaupan valmistelun tilaaminen Asianajotoimisto Eversheds Oy:ltä,https://asiakirjat.ouka.fi/ktwebscr/fileshow?doctype=3&docid=3529435
"Tupakkalain 79 §:n mukaisen tupakointikiellon määrääminen, Kiinteistö Oy Oulun Torikatu 16, Oulu",https://asiakirjat.ouka.fi/ktwebscr/fileshow?doctype=3&docid=3517103
